Scenario ID,Date,Event Type,Process Area,Loss Amount (kUSD),Frequency (Nk),Severity (Xi),OpVar (%),ML,GDP (%),VIX,Target
OLE-0068,2022-06-25,Cyber-Fraud,Retail Banking,101.66,3,0.39,0.51,1.0,3.9,18,1
ALE-1169,Synth-2022,Phishing,Retail Banking,198.79,3,2.62,2.85,3.46,3.1,19,0
ALE-0119,Synth-2022,Phishing,ATM Network,172.65,5,2.69,1.89,1.31,2.8,24,2
OLE-0351,2023-10-22,Data Breach,E-Banking,65.59,5,0.51,1.17,1.0,2.8,18,1
ALE-0603,Synth-2022,Cyber-Fraud,Online Services,138.54,4,2.36,2.55,2.49,3.3,25,1
ALE-0793,Synth-2022,System Failure,Retail Banking,10.0,5,2.7,1.57,1.38,2.8,16,2
OLE-0317,2022-01-09,System Failure,Retail Banking,35.93,5,0.38,0.59,1.0,4.0,24,0
ALE-0567,Synth-2022,Data Breach,Retail Banking,140.93,1,2.63,1.24,1.25,2.5,27,1
ALE-0322,Synth-2022,Data Breach,Payments,109.23,4,1.28,3.06,2.3,3.0,25,0
ALE-0972,Synth-2022,Tech Failure,ATM Network,94.44,3,0.99,1.47,1.13,2.6,28,0
OLE-0483,2023-12-09,Data Breach,ATM Network,82.23,3,0.8,0.86,1.0,3.4,20,2
OLE-0030,2023-09-10,Data Breach,ATM Network,63.21,2,0.43,0.5,1.0,3.5,18,1
ALE-1157,Synth-2022,Cyber-Fraud,Retail Banking,142.51,3,2.98,2.3,2.4,3.1,23,0
ALE-1014,Synth-2022,Tech Failure,Retail Banking,133.17,2,1.86,3.1,2.26,3.9,18,1
ALE-0714,Synth-2022,Tech Failure,Online Services,94.28,2,2.7,1.99,1.92,3.8,24,2
ALE-0690,Synth-2022,Cyber-Fraud,ATM Network,176.02,5,2.31,1.93,2.09,2.7,27,1
ALE-1223,Synth-2022,Cyber-Fraud,Payments,131.02,3,2.82,2.68,3.26,4.0,16,1
OLE-0788,2023-10-29,Data Breach,ATM Network,54.41,2,0.88,1.2,1.0,3.8,24,2
ALE-0488,Synth-2022,Tech Failure,Online Services,97.53,3,2.64,3.28,2.39,3.2,27,1
ALE-1280,Synth-2022,Phishing,Online Services,107.65,3,1.07,2.08,1.5,3.0,27,0
ALE-1282,Synth-2022,Data Breach,E-Banking,172.0,2,1.3,3.44,2.3,2.6,27,1
ALE-1268,Synth-2022,Phishing,Payments,212.15,4,2.05,1.47,1.23,2.8,19,2
OLE-0695,2022-03-23,Cyber-Fraud,E-Banking,93.26,3,0.31,0.52,1.0,3.4,16,1
ALE-0072,Synth-2022,Tech Failure,Payments,198.45,5,2.69,1.21,1.47,3.9,24,0
OLE-0189,2023-09-14,Data Breach,Retail Banking,67.94,2,1.0,1.12,1.0,2.6,15,1
OLE-0135,2022-05-22,System Failure,E-Banking,46.4,1,0.31,0.97,1.0,3.0,24,0
OLE-0129,2023-10-01,Cyber-Fraud,Payments,93.74,4,1.35,1.27,1.0,3.7,15,2
OLE-0756,2022-07-25,Data Breach,Retail Banking,5.0,3,0.53,0.96,1.0,3.9,19,1
ALE-1132,Synth-2022,Phishing,Payments,169.47,5,2.77,1.33,1.09,3.4,20,2
OLE-0325,2022-01-27,Data Breach,E-Banking,71.06,3,1.44,1.33,1.0,3.0,19,1
OLE-0544,2022-10-25,Data Breach,Payments,28.71,3,1.26,0.68,1.0,2.7,20,0
ALE-0153,Synth-2022,Phishing,Payments,170.44,2,2.65,2.23,1.79,2.8,20,2
ALE-0441,Synth-2022,Cyber-Fraud,Payments,81.49,1,1.03,2.61,3.01,3.6,25,1
OLE-0185,2022-05-21,Tech Failure,Payments,50.91,2,0.39,1.0,1.0,3.7,19,1
OLE-0052,2022-12-07,Data Breach,E-Banking,74.53,5,0.33,0.64,1.0,3.9,17,1
OLE-0197,2022-05-22,Cyber-Fraud,E-Banking,65.67,5,0.52,0.78,1.0,2.7,17,2
ALE-1145,Synth-2022,Data Breach,Retail Banking,107.48,2,1.01,1.75,1.61,3.8,28,0
ALE-0753,Synth-2022,Phishing,Retail Banking,122.73,2,1.8,1.67,1.26,3.2,18,0
ALE-1037,Synth-2022,Data Breach,Retail Banking,299.53,2,1.64,2.97,2.29,2.6,26,0
ALE-0944,Synth-2022,Cyber-Fraud,E-Banking,130.06,4,1.79,3.18,3.57,3.0,16,1
OLE-0240,2023-10-29,Cyber-Fraud,ATM Network,35.38,5,0.66,0.73,1.0,2.5,17,1
OLE-0388,2023-05-03,System Failure,Retail Banking,34.58,1,1.16,0.57,1.0,3.1,20,2
ALE-1002,Synth-2022,Data Breach,ATM Network,232.16,2,2.3,3.26,3.16,3.9,23,1
ALE-0630,Synth-2022,System Failure,E-Banking,247.59,4,1.66,2.48,2.06,2.7,17,1
ALE-0414,Synth-2022,Phishing,Online Services,187.5,3,1.0,2.22,1.48,3.8,29,0
OLE-0255,2023-01-10,Cyber-Fraud,Payments,5.0,3,0.53,0.91,1.0,3.9,18,0
ALE-0661,Synth-2022,Tech Failure,Retail Banking,76.56,2,1.64,2.57,3.03,2.9,16,2
ALE-0144,Synth-2022,Cyber-Fraud,ATM Network,139.54,1,1.26,1.53,1.07,4.0,26,1
ALE-0830,Synth-2022,System Failure,E-Banking,153.78,3,0.83,1.49,1.45,3.3,28,2
ALE-0673,Synth-2022,Cyber-Fraud,E-Banking,194.06,1,2.72,1.72,1.52,2.7,18,0
ALE-0771,Synth-2022,Data Breach,E-Banking,174.12,5,0.98,2.13,2.01,2.9,25,0
OLE-0638,2023-09-26,Cyber-Fraud,Payments,82.48,4,1.32,0.55,1.0,2.7,21,1
ALE-0462,Synth-2022,Phishing,Payments,347.75,3,2.61,1.3,1.15,3.1,24,1
OLE-0799,2023-06-16,Cyber-Fraud,ATM Network,49.97,3,0.85,1.11,1.0,2.8,14,0
ALE-0918,Synth-2022,Data Breach,Retail Banking,205.38,4,2.47,1.41,1.22,2.6,19,1
OLE-0528,2022-03-29,Cyber-Fraud,Payments,80.17,5,0.94,1.36,1.0,3.0,23,2
ALE-0924,Synth-2022,Data Breach,Retail Banking,270.35,1,1.24,2.91,2.05,3.4,28,1
ALE-0165,Synth-2022,System Failure,E-Banking,194.25,2,1.22,2.21,1.83,3.7,24,1
ALE-0537,Synth-2022,Data Breach,Online Services,83.85,3,2.11,2.68,2.01,2.7,20,0
OLE-0481,2023-03-22,System Failure,E-Banking,65.08,4,1.11,0.9,1.0,2.7,20,2
ALE-0117,Synth-2022,Cyber-Fraud,E-Banking,290.91,1,2.74,3.25,3.47,3.4,22,0
ALE-0107,Synth-2022,Data Breach,Online Services,163.51,3,1.17,2.63,2.02,3.4,26,0
OLE-0465,2022-03-20,Cyber-Fraud,E-Banking,83.09,5,1.28,1.32,1.0,3.7,18,2
ALE-1274,Synth-2022,Tech Failure,Payments,97.68,2,2.53,2.8,2.67,3.8,23,1
ALE-0364,Synth-2022,Phishing,E-Banking,251.19,2,2.63,1.37,1.07,3.3,28,2
ALE-0797,Synth-2022,System Failure,Payments,252.08,2,1.06,1.78,1.98,3.1,26,2
ALE-1053,Synth-2022,Tech Failure,Payments,167.3,2,1.58,2.41,1.98,3.4,22,2
ALE-0095,Synth-2022,Tech Failure,ATM Network,82.66,3,1.19,2.53,1.77,3.0,23,2
ALE-0604,Synth-2022,Phishing,Retail Banking,182.52,5,0.82,2.25,2.52,3.5,15,1
ALE-0004,Synth-2022,System Failure,E-Banking,85.43,5,2.59,3.19,2.51,2.6,15,0
OLE-0583,2023-08-03,Data Breach,Retail Banking,56.76,5,1.02,0.58,1.0,3.5,23,1
OLE-0121,2022-06-04,Data Breach,Retail Banking,103.79,2,0.55,0.88,1.0,4.0,22,1
ALE-1091,Synth-2022,System Failure,E-Banking,95.16,4,1.86,2.32,1.63,2.9,15,0
OLE-0603,2023-03-11,Tech Failure,Payments,40.59,5,0.37,1.32,1.0,3.0,18,2
OLE-0487,2022-02-06,Cyber-Fraud,ATM Network,67.68,4,1.02,1.01,1.0,2.9,15,0
OLE-0057,2022-06-08,System Failure,ATM Network,32.22,4,0.93,0.93,1.0,2.7,17,2
OLE-0252,2023-07-23,Tech Failure,E-Banking,63.64,3,0.82,0.81,1.0,3.2,21,0
ALE-0598,Synth-2022,Data Breach,Payments,202.81,1,2.77,3.27,3.17,3.9,15,0
OLE-0614,2022-09-13,System Failure,Retail Banking,5.0,1,0.83,1.01,1.0,2.9,17,0
OLE-0606,2023-04-28,Cyber-Fraud,Retail Banking,28.37,2,1.28,0.51,1.0,3.2,22,0
OLE-0515,2023-06-16,System Failure,Retail Banking,5.0,2,0.36,1.46,1.0,3.5,17,2
ALE-0230,Synth-2022,System Failure,E-Banking,174.89,4,1.66,2.09,2.09,2.9,17,1
ALE-1140,Synth-2022,Tech Failure,Retail Banking,158.07,5,1.42,2.4,2.41,2.8,21,2
ALE-0780,Synth-2022,Data Breach,Payments,211.02,3,2.59,1.45,1.64,3.4,23,2
OLE-0333,2022-08-08,Tech Failure,E-Banking,63.25,3,1.18,0.79,1.0,3.7,16,2
ALE-0052,Synth-2022,Phishing,ATM Network,291.72,5,1.26,2.36,2.0,2.9,29,0
OLE-0299,2023-10-29,Data Breach,Retail Banking,40.22,1,1.26,1.4,1.0,2.8,21,1
ALE-0351,Synth-2022,Cyber-Fraud,Online Services,102.5,4,1.87,3.07,2.09,3.9,18,0
ALE-0029,Synth-2022,Cyber-Fraud,Retail Banking,157.09,3,1.7,2.31,2.72,2.9,28,1
ALE-0611,Synth-2022,Tech Failure,Retail Banking,184.53,3,1.76,3.14,2.58,3.6,24,0
ALE-0895,Synth-2022,System Failure,Online Services,240.61,4,0.92,1.61,1.36,3.2,21,0
ALE-0275,Synth-2022,Cyber-Fraud,Online Services,10.0,2,2.81,3.0,2.26,3.4,25,1
ALE-0974,Synth-2022,System Failure,Retail Banking,240.85,2,2.92,3.34,2.5,3.3,26,2
ALE-0442,Synth-2022,Phishing,Payments,148.67,1,2.3,2.68,3.31,3.8,28,1
ALE-0447,Synth-2022,System Failure,Retail Banking,94.26,3,2.78,3.12,2.63,3.4,26,2
OLE-0045,2023-05-05,System Failure,Payments,29.54,1,0.41,1.44,1.0,3.3,24,2
OLE-0533,2023-09-18,Data Breach,ATM Network,64.55,5,0.44,0.67,1.0,3.2,18,0
ALE-0914,Synth-2022,Data Breach,Retail Banking,80.99,4,1.42,2.46,2.87,3.9,18,0
ALE-0884,Synth-2022,Data Breach,ATM Network,207.28,2,1.08,2.21,1.68,3.5,24,0
ALE-0308,Synth-2022,Tech Failure,Online Services,179.33,2,1.93,2.89,2.66,3.0,23,0
ALE-0249,Synth-2022,Tech Failure,ATM Network,68.74,5,2.57,1.87,1.48,3.1,24,2
ALE-1168,Synth-2022,System Failure,Online Services,120.85,3,2.38,3.11,3.31,3.8,26,0
ALE-0368,Synth-2022,Data Breach,Payments,20.92,4,1.58,3.02,2.61,2.7,16,0
ALE-0538,Synth-2022,System Failure,E-Banking,41.8,3,2.2,1.56,1.19,3.6,24,1
ALE-0844,Synth-2022,System Failure,Retail Banking,34.91,1,1.51,1.8,1.36,3.0,16,2
OLE-0648,2022-02-26,Tech Failure,E-Banking,60.84,2,1.38,0.63,1.0,3.1,15,0
OLE-0383,2023-02-02,Data Breach,Retail Banking,62.89,3,0.72,0.86,1.0,3.7,14,1
OLE-0070,2023-06-18,System Failure,ATM Network,49.45,5,0.96,1.33,1.0,2.6,23,1
ALE-1221,Synth-2022,Data Breach,ATM Network,104.73,1,1.44,2.47,2.92,2.7,21,1
ALE-0548,Synth-2022,Data Breach,Retail Banking,95.55,2,2.68,1.41,1.02,3.0,26,0
ALE-0229,Synth-2022,System Failure,ATM Network,210.88,3,1.44,1.38,1.21,3.0,29,0
ALE-0509,Synth-2022,Data Breach,Retail Banking,138.96,5,2.76,1.79,1.23,3.4,26,0
OLE-0651,2023-02-06,Tech Failure,Payments,36.11,2,0.38,1.32,1.0,3.5,14,2
OLE-0384,2022-03-21,Data Breach,Payments,63.0,2,0.49,1.33,1.0,3.0,19,2
ALE-1122,Synth-2022,Phishing,ATM Network,152.12,4,2.49,2.24,1.8,3.3,17,1
ALE-1209,Synth-2022,System Failure,E-Banking,178.75,5,2.59,1.9,1.57,3.9,19,2
ALE-0172,Synth-2022,Data Breach,E-Banking,34.65,1,2.36,1.46,1.44,3.7,29,0
ALE-0819,Synth-2022,System Failure,Payments,152.57,1,2.57,2.74,3.08,3.0,20,2
ALE-0561,Synth-2022,Data Breach,Online Services,194.89,3,2.06,1.78,1.31,2.6,22,0
OLE-0706,2022-12-07,System Failure,ATM Network,18.35,1,0.7,0.75,1.0,4.0,16,1
OLE-0322,2022-03-20,System Failure,ATM Network,83.4,1,0.38,1.14,1.0,3.6,15,1
ALE-0846,Synth-2022,Phishing,ATM Network,242.5,1,2.03,3.46,2.98,3.9,29,2
ALE-0428,Synth-2022,Cyber-Fraud,Online Services,10.0,2,0.88,2.82,2.83,3.4,29,1
OLE-0711,2022-09-26,Tech Failure,ATM Network,51.92,4,0.88,1.4,1.0,3.9,21,1
ALE-1260,Synth-2022,Phishing,E-Banking,115.76,1,0.88,1.8,1.4,2.9,21,1
OLE-0421,2022-12-01,Cyber-Fraud,E-Banking,19.81,5,0.86,1.44,1.0,3.0,21,0
OLE-0434,2022-12-16,Data Breach,E-Banking,40.99,1,0.76,1.17,1.0,4.0,24,0
OLE-0100,2023-02-01,Data Breach,E-Banking,36.29,4,0.32,0.78,1.0,2.6,19,2
ALE-0324,Synth-2022,Cyber-Fraud,ATM Network,85.52,5,2.91,1.93,2.02,3.5,21,2
OLE-0430,2022-06-02,System Failure,ATM Network,28.63,5,1.3,0.63,1.0,2.7,14,0
ALE-0255,Synth-2022,Cyber-Fraud,E-Banking,163.48,4,1.23,1.78,1.93,3.9,24,2
ALE-0614,Synth-2022,Cyber-Fraud,ATM Network,167.22,1,2.03,1.78,1.98,2.8,20,1
OLE-0600,2022-09-13,Cyber-Fraud,Payments,66.13,3,0.9,1.41,1.0,3.6,22,2
ALE-0043,Synth-2022,System Failure,Online Services,278.33,4,0.82,2.46,1.66,3.2,26,0
OLE-0531,2022-03-30,Tech Failure,E-Banking,88.06,2,0.66,0.82,1.0,2.7,21,1
ALE-0989,Synth-2022,Phishing,Retail Banking,105.2,5,1.2,2.0,1.38,2.7,29,0
ALE-0906,Synth-2022,Phishing,E-Banking,236.97,5,3.0,2.09,1.95,3.3,19,0
ALE-0953,Synth-2022,Data Breach,E-Banking,10.0,1,2.1,1.78,1.81,3.2,27,1
OLE-0125,2023-06-16,Tech Failure,Payments,15.74,1,1.31,0.97,1.0,4.0,16,0
OLE-0186,2023-01-08,Cyber-Fraud,Payments,68.26,2,1.15,1.17,1.0,2.8,15,2
ALE-0564,Synth-2022,Data Breach,Payments,218.91,3,2.71,2.75,1.84,2.6,24,0
OLE-0520,2022-05-11,Tech Failure,E-Banking,45.74,2,1.11,0.64,1.0,2.9,20,1
ALE-0987,Synth-2022,System Failure,Payments,190.5,5,2.61,2.13,1.43,3.7,16,0
ALE-0332,Synth-2022,Phishing,Retail Banking,185.41,1,2.95,3.14,3.4,3.9,29,2
ALE-0382,Synth-2022,System Failure,Retail Banking,156.7,2,1.71,1.79,2.22,2.9,17,1
OLE-0509,2022-03-02,Tech Failure,Retail Banking,57.49,3,1.27,1.45,1.0,3.0,24,2
ALE-1213,Synth-2022,Data Breach,Payments,116.5,2,0.86,1.69,1.53,3.1,17,1
OLE-0066,2023-12-24,System Failure,Retail Banking,45.0,1,1.04,0.57,1.0,3.3,16,0
OLE-0362,2023-05-13,System Failure,Retail Banking,96.68,2,1.11,1.07,1.0,3.9,19,1
ALE-1277,Synth-2022,Cyber-Fraud,Online Services,239.49,2,1.3,2.16,1.59,3.3,19,0
ALE-1114,Synth-2022,Cyber-Fraud,Retail Banking,10.0,1,2.08,2.3,1.94,2.8,15,1
ALE-0851,Synth-2022,Phishing,E-Banking,91.89,4,2.74,1.88,1.37,3.0,16,0
ALE-0494,Synth-2022,Cyber-Fraud,Online Services,94.0,4,2.12,2.84,2.8,3.3,16,0
ALE-0047,Synth-2022,Cyber-Fraud,Online Services,217.49,3,1.86,2.43,2.65,3.0,23,0
ALE-1061,Synth-2022,Phishing,Online Services,168.35,2,2.65,2.76,2.14,3.3,27,2
ALE-1203,Synth-2022,Data Breach,ATM Network,147.69,5,1.74,2.27,1.53,3.5,28,2
OLE-0612,2023-08-11,System Failure,Retail Banking,72.04,1,1.45,0.64,1.0,3.4,19,0
ALE-1025,Synth-2022,Tech Failure,Payments,222.85,3,2.92,2.53,1.7,3.1,24,2
OLE-0417,2023-12-17,System Failure,Payments,37.71,5,1.22,0.93,1.0,3.2,15,0
OLE-0573,2022-03-29,Tech Failure,Retail Banking,5.0,5,0.87,0.84,1.0,3.9,23,1
ALE-1102,Synth-2022,Cyber-Fraud,ATM Network,27.12,3,2.23,1.27,1.26,3.3,20,1
OLE-0427,2022-06-13,Tech Failure,Retail Banking,17.97,4,1.49,1.23,1.0,3.7,17,0
ALE-0253,Synth-2022,Data Breach,Retail Banking,10.0,3,1.0,2.56,2.1,3.1,28,2
ALE-0946,Synth-2022,Phishing,E-Banking,92.28,5,2.5,3.36,3.74,3.1,24,1
OLE-0213,2022-12-28,Tech Failure,Payments,113.79,3,1.46,0.58,1.0,3.0,24,1
ALE-1196,Synth-2022,Phishing,Retail Banking,158.1,1,1.25,2.47,2.81,2.9,19,1
